State,Abbr,Longitude,Latitude,catTweets1,catTweets2
Alabama,AL,-86.9023,32.32123,8,6
Arizona,AZ,-111.0937,34.04893,13,13
Arkansas,AR,-91.83183,35.20105,2,0
California,CA,-119.4179,36.77826,92,94
Colorado,CO,-105.7821,39.55005,9,10
Connecticut,CT,-73.08775,41.60322,3,4
Delaware,DE,-75.52767,38.91083,1,1
Florida,FL,-81.51575,27.66483,32,34
Georgia,GA,-82.90008,32.16562,20,16
Idaho,ID,-114.742,44.0682,2,1
Illinois,IL,-89.39953,40.63312,29,20
Indiana,IN,,,17,15
Iowa,IA,,,8,3
Kansas,KS,,,12,1
Kentucky,KY,,,17,13
Louisana,LA,,,6,7
Maine,ME,,,3,0
Maryland,MD,,,9,9
Massachussets,MA,,,13,6
Michigan,MI,,,14,17
Minnesota,MN,,,10,9
Mississippi,MS,,,2,4
Missouri,MO,,,18,10
Montana,MT,,,0,1
Nebraska,NE,,,3,4
Nevada,NV,,,7,7
NewHampshire,NH,,,2,0
NewJersey,NJ,-74.40566,40.05832,9,5
NewMexico,NM,,,3,5
NewYork,NY,,,54,49
NorthCarolina,NC,,,18,13
NorthDakota,ND,,,0,1
Ohio,OH,,,27,18
Oklahoma,OK,,,6,4
Oregon,OR,,,17,16
Pennsylvania,PA,,,30,20
RhodeIsland,RI,,,2,2
SouthCarolina,SC,,,13,5
SouthDakota,SD,,,1,0
Tennesee,TN,,,14,17
Texas,TX,,,65,66
Utah,UT,,,5,4
Vermont,VT,,,0,0
Virginia,VA,,,6,9
Washington,WA,,,22,25
WestVirginia,WV,,,4,1
Wisconsin,WI,,,7,2
Wyoming,WY,,,1,1
